route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"3-6-H-mjp-1","","6","Glen Iris - Moreland","0","78BE20","FFFFFF"
"3-6-I-mjp-1","","6","Glen Iris - Moreland","0","78BE20","FFFFFF"
"3-6-J-mjp-1","","6","Glen Iris - Moreland","0","78BE20","FFFFFF"
"3-6-K-mjp-1","","6","Glen Iris - Moreland","0","78BE20","FFFFFF"
"3-70-F-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-70-G-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-70-H-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-70-I-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-70-J-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-70-K-mjp-1","","70","Waterfront City Docklands - Wattle Park","0","78BE20","FFFFFF"
"3-72-F-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-72-G-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-72-H-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-72-I-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-72-J-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-72-K-mjp-1","","72","Melbourne University - Camberwell","0","78BE20","FFFFFF"
"3-75-F-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-75-G-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-75-H-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-75-I-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-75-J-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-75-K-mjp-1","","75","Vermont South - Central Pier Docklands","0","78BE20","FFFFFF"
"3-78-F-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-78-G-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-78-H-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-78-I-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-78-J-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-78-K-mjp-1","","78","North Richmond - Balaclava via Prahran","0","78BE20","FFFFFF"
"3-82-F-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-82-G-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-82-H-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-82-I-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-82-J-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-82-K-mjp-1","","82","Moonee Ponds - Footscray","0","78BE20","FFFFFF"
"3-86-F-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-86-G-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-86-H-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-86-I-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-86-J-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-86-K-mjp-1","","86","Waterfront City Docklands - Bundoora RMIT","0","78BE20","FFFFFF"
"3-96-F-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
"3-96-G-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
"3-96-H-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
"3-96-I-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
"3-96-J-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
"3-96-K-mjp-1","","96","St Kilda Beach - East Brunswick","0","78BE20","FFFFFF"
