Suburb,bus,train,tram,Grand Total,trips_per_stop
Kalkallo,480,,,480,120
Kallista,200,,,200,50
Kalorama,696,,,696,58
Kangaroo Ground,236,,,236,19.66666667
Kealba,292,,,292,22.46153846
Keilor,1080,,,1080,36
Keilor Downs,1445,,,1445,30.10416667
Keilor East,4063,,,4063,70.05172414
Keilor Lodge,44,,,44,22
Keilor North,24,,,24,12
Keilor Park,1205,,,1205,86.07142857
Kensington,1215,534,242,1991,99.55
Kew,4686,,5338,10024,88.7079646
Kew East,3016,,1030,4046,84.29166667
Keysborough,5280,,,5280,43.27868852
Kilsyth,3406,,,3406,54.06349206
Kilsyth South,1120,,,1120,62.22222222
Kinglake,72,,,72,14.4
Kinglake Central,60,,,60,12
Kinglake West,120,,,120,12
Kings Park,711,,,711,29.625
Kingsbury,2516,,540,3056,145.5238095
Kingsville,378,,,378,42
Knoxfield,3521,,,3521,66.43396226
Kooyong,,418,513,931,155.1666667
Kurunjang,853,,,853,27.51612903
Lalor,6208,344,,6552,87.36
Langwarrin,6475,,,6475,77.08333333
Langwarrin South,65,,,65,3.611111111
Launching Place,261,,,261,21.75
Laverton,1205,376,,1581,65.875
Laverton North,1182,,,1182,27.48837209
Lilydale,5931,210,,6141,69.78409091
Lower Plenty,730,,,730,91.25
Lynbrook,1082,288,,1370,91.33333333
Lyndhurst,1729,,,1729,91
Lysterfield,914,,,914,33.85185185
Macleod,1918,290,,2208,69
Maidstone,2334,,142,2476,65.15789474
Malvern,84,652,5225,5961,104.5789474
Malvern East,3759,1260,1736,6755,65.58252427
Manor Lakes,1369,,,1369,37
Maribyrnong,2707,,3568,6275,74.70238095
Marysville,6,,,6,3
Mccrae,495,,,495,49.5
Mckinnon,620,448,,1068,48.54545455
Meadow Heights,4699,,,4699,77.03278689
Melbourne Airport,210,,,210,52.5
Melbourne City,12837,5223,38449,56509,310.489011
Melton,2497,,,2497,33.74324324
Melton South,1952,,,1952,41.53191489
Melton West,2108,,,2108,28.87671233
Mentone,3714,224,,3938,67.89655172
Menzies Creek,360,,,360,60
Mernda,8684,336,,9020,107.3809524
Merricks,16,,,16,5.333333333
Mickleham,2764,,,2764,58.80851064
Middle Park,210,,2434,2644,85.29032258
Mill Park,12666,,,12666,93.82222222
Millgrove,107,,,107,21.4
Mitcham,5092,434,,5526,60.72527473
Monbulk,900,,,900,50
Mont Albert,682,436,569,1687,73.34782609
Mont Albert North,2031,,,2031,61.54545455
Montmorency,3146,230,,3376,105.5
Montrose,3326,,,3326,69.29166667
Moonee Ponds,4296,314,3217,7827,86.96666667
Moorabbin,2424,887,,3311,61.31481481
Moorabbin Airport,282,,,282,35.25
Mooroolbark,3132,222,,3354,79.85714286
Mordialloc,1424,225,,1649,45.80555556
Mornington,3719,,,3719,31.51694915
Mount Dandenong,1272,,,1272,33.47368421
Mount Eliza,2044,,,2044,75.7037037
Mount Evelyn,3360,,,3360,93.33333333
Mount Martha,1913,,,1913,24.21518987
Mount Waverley,8358,840,,9198,82.86486486
Mulgrave,6948,,,6948,63.16363636
Murrumbeena,2907,484,,3391,69.20408163
Narbethong,4,,,4,2
Narre Warren,5395,298,,5693,49.93859649
Narre Warren North,399,,,399,23.47058824
Narre Warren South,5842,,,5842,53.59633028
Newport,2761,383,,3144,55.15789474
Nicholson,24,,,24,24
Niddrie,1423,,539,1962,56.05714286
Noble Park,2392,968,,3360,42.53164557
Noble Park North,950,,,950,19.79166667
North,513,,,513,64.125
North Melbourne,1383,460,5048,6891,127.6111111
North Warrandyte,588,,,588,21.77777778
Northcote,7132,1866,3412,12410,117.0754717
Notting Hill,2032,,,2032,106.9473684
Nunawading,4774,432,,5206,77.70149254
Oak Park,990,316,,1306,65.3
Oakleigh,6766,968,,7734,131.0847458
Oakleigh East,2251,,,2251,93.79166667
Oakleigh South,6199,,,6199,80.50649351
Officer,240,298,,538,33.625
Olinda,704,,,704,44
Ormond,1963,448,,2411,58.80487805
Pakenham,2850,596,,3446,24.61428571
Pakenham Upper,45,,,45,4.5
Park Orchards,870,,,870,41.42857143
Parkdale,1765,224,,1989,47.35714286
Parkville,1191,230,3845,5266,103.254902
Pascoe Vale,4952,316,,5268,87.8
Pascoe Vale South,2753,,1300,4053,75.05555556
Patterson Lakes,773,,,773,24.15625
Pearcedale,377,,,377,29
Pheasant Creek,48,,,48,12
Plenty,2073,,,2073,148.0714286
Plumpton,50,,,50,25
Point Cook,4512,,,4512,36.98360656
Point Leo,4,,,4,4
Port Melbourne,7947,,672,8619,86.19
Portsea,306,,,306,18
Prahran,1227,465,4076,5768,97.76271186
Preston,18909,700,5349,24958,117.1737089
Ravenhall,312,,,312,52
Research,482,,,482,25.36842105
Reservoir,24620,1044,1350,27014,84.15576324
Richmond,616,2799,8021,11436,163.3714286
Ringwood,8379,922,,9301,75.00806452
Ringwood East,2020,222,,2242,65.94117647
Ringwood North,2275,,,2275,37.29508197
Ripponlea,165,465,,630,105
Rockbank,346,,,346,26.61538462
Rosanna,3569,286,,3855,91.78571429
Rosebud,1101,,,1101,34.40625
Rowville,8347,,,8347,61.375
Roxburgh Park,4749,310,,5059,80.3015873
Rye,1322,,,1322,19.15942029
Safety Beach,950,,,950,50
Sandhurst,62,,,62,31
Sandringham,2248,442,,2690,61.13636364
Sassafras,976,,,976,75.07692308
Scoresby,4123,,,4123,73.625
Seabrook,298,,,298,42.57142857
Seaford,2759,450,,3209,36.46590909
Seaholme,,117,,117,117
Seddon,1080,222,,1302,86.8
Selby,480,,,480,60
Seville,210,,,210,23.33333333
Seville East,72,,,72,24
Sherbrooke,202,,,202,22.44444444
Shoreham,20,,,20,4
Silvan,1000,,,1000,50
Skye,72,,,72,24
Somers,274,,,274,12.45454545
Somerton,615,,,615,51.25
Somerville,410,76,,486,18
Sorrento,1230,,,1230,27.95454545
South,397,,,397,56.71428571
South Kingsville,615,,,615,41
South Melbourne,641,,6497,7138,129.7818182
South Morang,10363,1012,,11375,102.4774775
South Yarra,3038,933,3671,7642,97.97435897
Southbank,1281,,5822,7103,186.9210526
Spotswood,673,222,,895,59.66666667
Springvale,4082,968,,5050,59.41176471
Springvale South,1727,,,1727,35.24489796
St Albans,4818,916,,5734,42.16176471
St Andrews Beach,48,,,48,8
St Helena,831,,,831,63.92307692
St Kilda,2490,,8745,11235,133.75
St Kilda East,1278,,1739,3017,70.1627907
St Kilda West,105,,553,658,65.8
Strathmore,1698,316,,2014,43.7826087
Strathmore Heights,272,,,272,34
Strathtulloh,24,,,24,24
Sunbury,6259,206,,6465,28.73333333
Sunshine,7743,348,,8091,86.07446809
Sunshine North,2273,304,,2577,61.35714286
Sunshine West,3175,,,3175,40.70512821
Surrey Hills,2658,876,1864,5398,81.78787879
Sydenham,1340,306,,1646,53.09677419
Taggerty,4,,,4,2
Tarneit,6177,,,6177,41.18
Tarrawarra,27,,,27,13.5
Taylors Hill,1014,,,1014,32.70967742
Taylors Lakes,3136,,,3136,48.24615385
Tecoma,434,206,,640,37.64705882
Templestowe,7613,,,7613,73.91262136
Templestowe Lower,4050,,,4050,66.39344262
The Basin,810,,,810,54
The Patch,448,,,448,49.77777778
Thomastown,9607,688,,10295,89.52173913
Thornbury,5250,350,2212,7812,96.44444444
Thornton,2,,,2,1
Tooradin,48,,,48,8
Toorak,929,418,3971,5318,93.29824561
Tootgarook,595,,,595,21.25
Tottenham,342,,,342,68.4
Travancore,,,131,131,65.5
Tremont,176,,,176,58.66666667
Truganina,2236,,,2236,31.05555556
Tullamarine,2546,,,2546,41.73770492
Tyabb,174,76,,250,17.85714286
Upper Ferntree Gully,1310,216,,1526,101.7333333
Upwey,742,206,,948,26.33333333
Vermont,3548,,,3548,68.23076923
Vermont South,5551,,527,6078,121.56
Viewbank,1714,,,1714,77.90909091
Wandin North,329,,,329,23.5
Wantirna,4658,,,4658,101.2608696
Wantirna South,10700,,,10700,83.59375
Warburton,267,,,267,20.53846154
Warneet,64,,,64,9.142857143
Warrandyte,3803,,,3803,82.67391304
Warrandyte South,133,,,133,44.33333333
Warranwood,848,,,848,42.4
Waterways,225,,,225,45
Watsonia,2130,290,,2420,86.42857143
Watsonia North,1830,,,1830,83.18181818
Wattle Glen,108,128,,236,59
Werribee,7699,146,,7845,36.83098592
Werribee South,223,,,223,15.92857143
Wesburn,215,,,215,21.5
West,333,,,333,66.6
West Footscray,3504,600,,4104,70.75862069
West Melbourne,3478,1235,272,4985,118.6904762
Westmeadows,2028,,,2028,56.33333333
Wheelers Hill,6308,,,6308,59.50943396
Whittlesea,1464,,,1464,63.65217391
Williams Landing,1749,144,,1893,78.875
Williamstown,3244,363,,3607,60.11666667
Williamstown North,260,,,260,20
Windsor,502,465,1440,2407,120.35
Wollert,2808,,,2808,75.89189189
Wonga Park,1188,,,1188,42.42857143
Woori Yallock,304,,,304,23.38461538
Wyndham Vale,1801,,,1801,29.52459016
Yallambie,1466,,,1466,81.44444444
Yan Yean,880,,,880,88
Yarra Glen,54,,,54,13.5
Yarra Junction,322,,,322,20.125
Yarrambat,1418,,,1418,78.77777778
Yarraville,3390,222,,3612,43.51807229
