Warrandyte,10613,10692,10805,10961,11158
Watsonia,9542,9725,9916,10172,10469
Wattle Glen,14351,14788,15283,15803,16372
Werribee South,11776,17116,20836,24655,28856
Werribee,32926,40641,51200,62525,74074
West Footscray,6029,6601,7025,7401,7797
Tottenham,6029,6601,7025,7401,7797
West Melbourne,40181,62833,73594,78632,83245
Wheelers Hill,20880,21329,21851,22458,23150
Whittlesea,8436,10095,19163,32193,44864
Williamstown,16389,17614,18513,19323,20139
Wollert,9493,21820,36732,51065,63746
Wyndham Vale,24270,33524,44369,55077,65947
Yarra Glen,14106,15091,15634,16213,16814
Yarraville,15656,17009,18638,20269,22077
Bulla,8562,10953,13557,15732,17564
