suburb,trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,stop_name,stop_lat,stop_lon
Mooroolbark,1699,1699,1699,1699,1699,0,1699,1699,1699,1699,1699,1699
Mordialloc,1643,1643,1643,1643,1643,0,1643,1643,1643,1643,1643,1643
Mornington,3719,3719,3719,3719,3719,0,3719,3719,3719,3719,3719,3719
Mount Dandenong,636,636,636,636,636,0,636,636,636,636,636,636
Mount Eliza,2044,2044,2044,2044,2044,0,2044,2044,2044,2044,2044,2044
Mount Evelyn,1680,1680,1680,1680,1680,0,1680,1680,1680,1680,1680,1680
Mount Martha,1913,1913,1913,1913,1913,0,1913,1913,1913,1913,1913,1913
Mount Waverley,5247,5247,5247,5247,5247,0,5247,5247,5247,5247,5247,5247
Mulgrave,6396,6396,6396,6396,6396,0,6396,6396,6396,6396,6396,6396
Murrumbeena,2869,2869,2869,2869,2869,0,2869,2869,2869,2869,2869,2869
Nar Nar Goon,77,77,77,77,77,0,77,77,77,77,77,77
Narre Warren,5150,5150,5150,5150,5150,0,5150,5150,5150,5150,5150,5150
Narre Warren North,399,399,399,399,399,0,399,399,399,399,399,399
Narre Warren South,4356,4356,4356,4356,4356,0,4356,4356,4356,4356,4356,4356
Newport,3144,3144,3144,3144,3144,0,3144,3144,3144,3144,3144,3144
Niddrie,2098,2098,2098,2098,2098,0,2098,2098,2098,2098,2098,2098
Noble Park,2876,2876,2876,2876,2876,0,2876,2876,2876,2876,2876,2876
Noble Park North,950,950,950,950,950,0,950,950,950,950,950,950
North Melbourne,6661,6661,6661,6661,6661,0,6661,6661,6661,6661,6661,6661
North Warrandyte,588,588,588,588,588,0,588,588,588,588,588,588
Northcote,9230,9230,9230,9230,9230,0,9230,9230,9230,9230,9230,9230
Notting Hill,1016,1016,1016,1016,1016,0,1016,1016,1016,1016,1016,1016
Nunawading,4292,4292,4292,4292,4292,0,4292,4292,4292,4292,4292,4292
Oak Park,653,653,653,653,653,0,653,653,653,653,653,653
Oakleigh,5655,5655,5655,5655,5655,0,5655,5655,5655,5655,5655,5655
Oakleigh East,1539,1539,1539,1539,1539,0,1539,1539,1539,1539,1539,1539
Oakleigh South,4165,4165,4165,4165,4165,0,4165,4165,4165,4165,4165,4165
Officer,405,405,405,405,405,0,405,405,405,405,405,405
Olinda,352,352,352,352,352,0,352,352,352,352,352,352
Ormond,2411,2411,2411,2411,2411,0,2411,2411,2411,2411,2411,2411
Pakenham,3306,3306,3306,3306,3306,0,3306,3306,3306,3306,3306,3306
Pakenham Upper,45,45,45,45,45,0,45,45,45,45,45,45
Park Orchards,870,870,870,870,870,0,870,870,870,870,870,870
Parkdale,1989,1989,1989,1989,1989,0,1989,1989,1989,1989,1989,1989
Parkville,4653,4653,4653,4653,4653,0,4653,4653,4653,4653,4653,4653
Pascoe Vale,2970,2970,2970,2970,2970,0,2970,2970,2970,2970,2970,2970
Pascoe Vale South,3401,3401,3401,3401,3401,0,3401,3401,3401,3401,3401,3401
Patterson Lakes,773,773,773,773,773,0,773,773,773,773,773,773
Pearcedale,213,213,213,213,213,0,213,213,213,213,213,213
Plenty,1562,1562,1562,1562,1562,0,1562,1562,1562,1562,1562,1562
Plumpton,50,50,50,50,50,0,50,50,50,50,50,50
Point Cook,4512,4512,4512,4512,4512,0,4512,4512,4512,4512,4512,4512
Point Leo,4,4,4,4,4,0,4,4,4,4,4,4
Port Melbourne,8619,8619,8619,8619,8619,0,8619,8619,8563,8619,8619,8619
Portsea,306,306,306,306,306,0,306,306,306,306,306,306
Prahran,5536,5536,5536,5536,5536,0,5536,5536,5536,5536,5536,5536
Preston,17507,17507,17507,17507,17507,0,17507,17507,17507,17507,17507,17507
Ravenhall,418,418,418,418,418,0,418,418,418,418,418,418
Research,482,482,482,482,482,0,482,482,482,482,482,482
Reservoir,14739,14739,14739,14739,14739,0,14739,14739,14739,14739,14739,14739
Richmond,10154,10154,10154,10154,10154,0,10154,10154,10154,10154,10154,10154
Ringwood,7370,7370,7370,7370,7370,0,7370,7370,7370,7370,7370,7370
Ringwood East,1549,1549,1549,1549,1549,0,1549,1549,1549,1549,1549,1549
Ringwood North,2275,2275,2275,2275,2275,0,2275,2275,2275,2275,2275,2275
Ripponlea,398,398,398,398,398,0,398,398,398,398,398,398
Rockbank,436,436,436,436,436,0,436,436,436,436,436,436
Rosanna,1976,1976,1976,1976,1976,0,1976,1976,1976,1976,1976,1976
Rosebud,1101,1101,1101,1101,1101,0,1101,1101,1101,1101,1101,1101
Rowville,4989,4989,4989,4989,4989,0,4989,4989,4989,4989,4989,4989
Roxburgh Park,3380,3380,3380,3380,3380,0,3380,3380,3380,3380,3380,3380
Rye,1322,1322,1322,1322,1322,0,1322,1322,1322,1322,1322,1322
Safety Beach,950,950,950,950,950,0,950,950,950,950,950,950
Sandhurst,62,62,62,62,62,0,62,62,62,62,62,62
Sandringham,2480,2480,2480,2480,2480,0,2480,2480,2480,2480,2480,2480
Sassafras,488,488,488,488,488,0,488,488,488,488,488,488
Scoresby,2603,2603,2603,2603,2603,0,2603,2603,2603,2603,2603,2603
Seabrook,298,298,298,298,298,0,298,298,298,298,298,298
Seaford,3209,3209,3209,3209,3209,0,3209,3209,3209,3209,3209,3209
Seaholme,117,117,117,117,117,0,117,117,117,117,117,117
Seddon,1302,1302,1302,1302,1302,0,1302,1302,1302,1302,1302,1302
Selby,240,240,240,240,240,0,240,240,240,240,240,240
Seville,210,210,210,210,210,0,210,210,210,210,210,210
