,Area Name,Total Growth,Total Growth %,suburb,stop_id,GCCSA
281,Hoppers Crossing - North,1543.0,0.076492167360698,,,2GMEL
282,Hoppers Crossing - South,1562.0,0.0772502472799209,,,2GMEL
286,Werribee - South,17080.0,1.4504076086956499,,,2GMEL
288,Point Cook - East,10265.0,0.800826962084569,,,2GMEL
289,Point Cook - North,2740.0,0.112812911725955,,,2GMEL
290,Point Cook - South,15156.0,1.00059417706477,,,2GMEL
291,Werribee - East,3038.0,0.147168531705663,,,2GMEL
292,Werribee - West,38110.0,3.10266221607099,,,2GMEL
299,Skye - Sandhurst,1731.0,0.126683255269321,,,2GMEL
302,Hastings - Somers,6937.0,0.303575335871516,,,2GMEL
306,Point Nepean,2062.0,0.114561920106673,,,2GMEL
307,Rosebud - McCrae,6016.0,0.278350992458243,,,2GMEL
