,Area Name,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
156,Lynbrook,-38.0558639,145.2561128,51c9827813322862405975c35b8c260743c0f00101f901e409250000000000c00205,Lynbrook,Lynbrook,1.0,City of Casey,Lynbrook,-38.077663,-38.035661,145.245145,145.26621
157,Lysterfield,-37.9348771,145.3017588,51f7281202a829624059c123850daaf742c0f00101f901b6f3240000000000c00205,Lysterfield,Lysterfield,1.0,Shire of Yarra Ranges,Lysterfield,-37.967844,-37.900346,145.265151,145.336514
158,Macedon,-37.4214267,144.5636447,510a229c600912624059a214634ff1b542c0f00101f9015959250000000000c00207,Macedon VIC 3440,Macedon VIC 3440,1.0,Shire of Macedon Ranges,,,,,
159,Malvern,-37.8576088,145.0350666,51d285fd431f2162405983610a20c6ed42c0f00101f9011a78240000000000c00205,Malvern,Malvern,1.0,City of Stonnington,Malvern,-37.873108,-37.84377,145.026852,145.044466
160,Malvern East,-37.876835,145.0658739,511fc594a31b226240597c7e18213cf042c0f00101f901388e240000000000c00205,Malvern East,Malvern East,1.0,City of Stonnington,Malvern East,-37.892976,-37.863473,145.037065,145.092201
161,Maribyrnong,-37.7695144,144.8902049,51a587fc8e7c1c62405989e6a6727fe242c0f00101f901c39d240000000000c00205,Maribyrnong,Maribyrnong,1.0,City of Maribyrnong,Maribyrnong,-37.789011,-37.755825,144.870577,144.904112
162,Meadow Heights,-37.6511668,144.9185521,5182a55fc7641d624059d81e076f59d342c0f00101f901e79a240000000000c00205,Meadow Heights,Meadow Heights,1.0,City of Hume,Meadow Heights,-37.66379,-37.638249,144.905941,144.931582
163,Melton,-37.6835714,144.5828446,51cef4b7a9a6126240598fbd83447fd742c0f00101f9017c2b250000000000c00208,Melbourne,Melbourne,1.0,City of Melton,,,,,
164,Melton South,-37.7060279,144.5717723,5147286cf54b1262405923484a1f5fda42c0f00101f9010838250000000000c00205,Melton South,Melton South,1.0,City of Melton,Melton South,-37.720649,-37.690213,144.549541,144.584934
165,Melton West,-37.6798651,144.5528895,51a8195245b1116240598c18d1d105d742c0f00101f901353b250000000000c00205,Melton West,Melton West,1.0,City of Melton,Melton West,-37.690213,-37.666849,144.512068,144.570269
166,Mentone,-37.9813669,145.0689511,51bef0efd834226240593e703a6e9dfd42c0f00101f901e8c6240000000000c00205,Mentone,Mentone,1.0,City of Kingston,Mentone,-37.9949262,-37.973487,145.051696,145.095327
167,Mernda,-37.5921097,145.0819562,518bd69b629f226240597b922a40cacb42c0f00101f9017c90240000000000c00205,Mernda,Mernda,1.0,City of Whittlesea,Mernda,-37.617124,-37.567356,145.050591,145.118531
168,Mickleham,-37.5344793,144.9120372,518857a3682f1d624059caf154d169c442c0f00101f90184fb240000000000c00205,Mickleham,Mickleham,1.0,City of Hume,Mickleham,-37.5912096,-37.502067,144.84833,144.950012
169,Mill Park,-37.6641334,145.0642681,51a275f97b0e226240593497c05202d542c0f00101f901786b240000000000c00205,Mill Park,Mill Park,1.0,City of Whittlesea,Mill Park,-37.679171,-37.649176,145.035538,145.094586
170,Mitcham,-37.8175796,145.1976295,5132e719fb52266240593af0c572a6e842c0f00101f9015190240000000000c00205,Mitcham,Mitcham,1.0,City of Whitehorse,Mitcham,-37.831271,-37.802628,145.18447,145.213526
171,Monbulk,-37.8741771,145.4286024,51965f611cb72d624059c0b40309e5ef42c0f00101f9013e0a250000000000c00205,Monbulk,Monbulk,1.0,Shire of Yarra Ranges,Monbulk,-37.899176,-37.850879,145.39159,145.458868
172,Montmorency,-37.7189715,145.1256231,51e943bc1a0524624059c7a0134207dc42c0f00101f901cf5f240000000000c00205,Montmorency,Montmorency,1.0,City of Banyule,Montmorency,-37.731893,-37.70868,145.110283,145.137788
173,Montrose,-37.8106247,145.3421513,51167948e7f22a62405937ead78cc2e742c0f00101f901abf3240000000000c00205,Montrose,Montrose,1.0,Shire of Yarra Ranges,Montrose,-37.847435,-37.786969,145.322912,145.37469
174,Moonee Ponds,-37.765575,144.9212864,51fdc79d2d7b1d6240594ed1915cfee142c0f00101f9017997240000000000c00205,Moonee Ponds,Moonee Ponds,1.0,City of Moonee Valley,Moonee Ponds,-37.773817,-37.756937,144.901021,144.938477
175,Moorabbin,-37.9414646,145.0578383,5199deb4cfd921624059beab79e981f842c0f00101f9015ca3240000000000c00205,Moorabbin,Moorabbin,1.0,City of Kingston,Moorabbin,-37.94984,-37.933028,145.034401,145.079533
176,Heatherton,-37.9560844,145.0932067,5194089e8cfb226240599f1b3ff960fa42c0f00101f901b4a8240000000000c00205,Heatherton,Heatherton,1.0,City of Kingston,Heatherton,-37.972272,-37.938752,145.075447,145.112058
177,Mooroolbark,-37.7813447,145.3256732,51e1e533ea6b2a62405993b3661a03e442c0f00101f90122c8240000000000c00205,Mooroolbark,Mooroolbark,1.0,Shire of Yarra Ranges,Mooroolbark,-37.802756,-37.758438,145.298161,145.353502
178,Mordialloc,-37.9993584,145.0960708,51380312031323624059cf7ddef9eaff42c0f00101f901e0f2240000000000c00205,Mordialloc,Mordialloc,1.0,City of Kingston,Mordialloc,-38.011918,-37.984784,145.081026,145.109249
179,Parkdale,-37.9918673,145.081286,51edf318e5992262405965bcf781f5fe42c0f00101f9013fd9240000000000c00205,Parkdale,Parkdale,1.0,City of Kingston,Parkdale,-38.005217,-37.982185,145.0687053,145.094263
180,Mornington,-38.2197962,145.0412592,511855d0fe51216240597d642948221c43c0f00101f901682b250000000000c00205,Mornington,Mornington,1.0,Shire of Mornington Peninsula,Mornington,-38.254658,-38.200927,145.025265,145.099241
181,Mount Dandenong,-37.8321508,145.3551849,510f31b9ac5d2b6240598dabdbea83ea42c0f00101f90169f9240000000000c00205,Mount Dandenong,Mount Dandenong,1.0,Shire of Yarra Ranges,Mount Dandenong,-37.853537,-37.818975,145.332124,145.370001
182,Mount Eliza,-38.1837759,145.0892789,5122776c5fdb226240598025fcf7851743c0f00101f901df1e250000000000c00205,Mount Eliza,Mount Eliza,1.0,Shire of Mornington Peninsula,Mount Eliza,-38.224989,-38.162592,145.061002,145.12875
183,Mount Evelyn,-37.7873186,145.3883037,514e8de1fb6c2c62405929441bdbc6e442c0f00101f90112fc240000000000c00205,Mount Evelyn,Mount Evelyn,1.0,Shire of Yarra Ranges,Mount Evelyn,-37.808785,-37.764101,145.359381,145.418644
184,Mount Martha,-38.2754676,145.0307737,5176622019fc20624059c68db685422343c0f00101f901e83a250000000000c00205,Mount Martha,Mount Martha,1.0,Shire of Mornington Peninsula,Mount Martha,-38.304776,-38.242807,144.982787,145.078918
185,Mount Waverley,-37.8783923,145.1284919,51a1890b9b1c2462405974c7ac286ff042c0f00101f9011795240000000000c00205,Mount Waverley,Mount Waverley,1.0,City of Monash,Mount Waverley,-37.901255,-37.855514,145.106148,145.150753
186,Mulgrave,-37.9261741,145.1723107,5107a8ba9183256240597cf376df8cf642c0f00101f90109b7240000000000c00205,Mulgrave,Mulgrave,1.0,City of Monash,Mulgrave,-37.940148,-37.902615,145.147538,145.220125
187,Murrumbeena,-37.8968653,145.0703808,5186483c8f402262405968356e7bccf242c0f00101f9011f95240000000000c00205,Murrumbeena,Murrumbeena,1.0,City of Glen Eira,Murrumbeena,-37.908145,-37.884599,145.060351,145.078183
188,Narre Warren,-38.017956,145.3058481,516661f481c9296240592c62d8614c0243c0f00101f901af00250000000000c00205,Narre Warren,Narre Warren,1.0,City of Casey,Narre Warren,-38.045817,-37.99529,145.284802,145.331448
189,Narre Warren South,-38.05439,145.3028513,51a2a135f5b0296240595e9d6340f60643c0f00101f901b300250000000000c00205,Narre Warren South,Narre Warren South,1.0,City of Casey,Narre Warren South,-38.074511,-38.024708,145.279769,145.335797
190,Narre Warren East,-37.9627116,145.361856,5190bb0853942b6240596bbd3a223afb42c0f00101f901ae00250000000000c00205,Narre Warren East,Narre Warren East,1.0,Shire of Yarra Ranges,Narre Warren East,-37.975111,-37.950445,145.319241,145.388284
191,Newport,-37.8435966,144.8804797,515789c3e32c1c624059260230f9faeb42c0f00101f9019ea8240000000000c00205,Newport,Newport,1.0,City of Hobsons Bay,Newport,-37.857907,-37.83308,144.860986,144.90555
192,Noble Park North,-37.9512702,145.1908377,51010baa571b266240596754cf38c3f942c0f00101f9014eb7240000000000c00205,Noble Park North,Noble Park North,1.0,City of Greater Dandenong,Noble Park North,-37.967764,-37.936497,145.175881,145.201903
193,Noble Park,-37.9695376,145.176703,515dc30c8da725624059051fdece19fc42c0f00101f90155b7240000000000c00205,Noble Park,Noble Park,1.0,City of Greater Dandenong,Noble Park,-37.984443,-37.947534,145.15839,145.19717
194,North Melbourne,-37.7985747,144.9451741,51d710c1dd3e1e624059def41db237e642c0f00101f9015662240000000000c00205,North Melbourne,North Melbourne,1.0,City of Melbourne,North Melbourne,-37.8061571,-37.787463,144.935279,144.9585099
195,Northcote,-37.7728157,145.0009469,510b11cbc10720624059edaaf69febe242c0f00101f901af59240000000000c00205,Northcote,Northcote,1.0,City of Darebin,Northcote,-37.785645,-37.758947,144.980812,145.017796
196,Nunawading,-37.8172638,145.1765591,51f509455fa625624059339aa6199ce842c0f00101f9011978240000000000c00205,Nunawading,Nunawading,1.0,City of Whitehorse,Nunawading,-37.8326027,-37.801221,145.163924,145.189118
197,Oakleigh,-37.9007001,145.0956739,5196f2b5c20f23624059818010244af342c0f00101f9011e95240000000000c00205,Oakleigh,Oakleigh,1.0,City of Monash,Oakleigh,-37.911595,-37.886995,145.085148,145.106998
198,Ormond,-37.9039946,145.0432907,5112972da362216240595b615518b6f342c0f00101f901ab99240000000000c00205,Ormond,Ormond,1.0,City of Glen Eira,Ormond,-37.909629,-37.896808,145.025822,145.054687
199,Glen Huntly,-37.8923791,145.0413689,514a12dfe452216240592411757a39f242c0f00101f901b295240000000000c00205,Glen Huntly,Glen Huntly,1.0,City of Glen Eira,Glen Huntly,-37.898201,-37.886282,145.036139,145.046128
200,Pakenham,-38.079153,145.4833359,51726fd97c772f624059ad307daf210a43c0f00101f901f237250000000000c00205,Pakenham,Pakenham,1.0,Shire of Cardinia,Pakenham,-38.12686,-38.015257,145.430803,145.544793
201,Parkville,-37.7871148,144.9515533,51d4fce71f731e6240594a19822dc0e442c0f00101f901825d240000000000c00205,Parkville,Parkville,1.0,City of Melbourne,Parkville,-37.800426,-37.773817,144.936339,144.965205
202,Pascoe Vale,-37.7250777,144.9379604,512e5e87c5031e6240598a479858cfdc42c0f00101f9016890240000000000c00205,Pascoe Vale,Pascoe Vale,1.0,City of Merri-bek,Pascoe Vale,-37.735678,-37.71372,144.919472,144.952191
203,Pascoe Vale South,-37.7434265,144.9384767,51dbd14900081e624059683d7c9928df42c0f00101f901c68f240000000000c00205,Pascoe Vale South,Pascoe Vale South,1.0,City of Merri-bek,Pascoe Vale South,-37.753336,-37.732974,144.925781,144.949592
204,Pearcedale,-38.2015815,145.242198,5103250516c02762405944fd2e6ccd1943c0f00101f901ef37250000000000c00205,Pearcedale,Pearcedale,1.0,City of Casey,Pearcedale,-38.225207,-38.168986,145.196645,145.286882
