,Unnamed: 0,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %,Lat,Lon,place_id,addr_1,addr-2,Confidence,Municipality,Suburb_geoapify,bbox_lat1,bbox_lat2,bbox_lon1,bbox_lon2
43,1064.0,Cairnlea,10206.0,11084.0,11592.0,11920.0,12216.0,2GMEL,2010.0,0.196942975,-37.7593157,144.7878098,51fccee5bc3519624059706bc14131e142c0f00101f9019cf3240000000000c00205,Cairnlea,Cairnlea,1.0,City of Brimbank,Cairnlea,-37.771158,-37.746633,144.775247,144.805915
44,142.0,Camberwell,22646.0,24118.0,25376.0,26721.0,28157.0,2GMEL,5511.0,0.243354235,-37.8384623,145.0740767,51a97c19d65e22624059e8b68ebb52eb42c0f00101f901f95f240000000000c00205,Camberwell,Camberwell,1.0,City of Boroondara,Camberwell,-37.850827,-37.820448,145.053137,145.098154
45,967.0,Campbellfield,8561.0,8704.0,8911.0,9169.0,9569.0,2GMEL,1008.0,0.117743254,-37.6641298,144.959583,51865968e7b41e62405946a68d3402d542c0f00101f901cb8d240000000000c00205,Campbellfield,Campbellfield,1.0,City of Hume,Campbellfield,-37.691005,-37.6414,144.934777,144.977766
46,,Coolaroo,8561.0,8704.0,8911.0,9169.0,9569.0,2GMEL,1008.0,0.117743254,-37.6567594,144.9345853,51515a6e1fe81d624059982b28b110d442c0f00101f901f098240000000000c00205,Coolaroo,Coolaroo,1.0,City of Hume,Coolaroo,-37.666462,-37.640692,144.922081,144.946897
47,114.0,Carlton,20242.0,25116.0,26747.0,28487.0,30262.0,2GMEL,10020.0,0.495010374,-37.8004228,144.9684343,5164daed69fd1e624059837c1a4174e642c0f00101f901785d240000000000c00205,Carlton,Carlton,1.0,City of Melbourne,Carlton,-37.807923,-37.79226,144.958471,144.975716
48,134.0,Carlton North,9058.0,9209.0,9337.0,9471.0,9718.0,2GMEL,660.0,0.072863767,-37.7845585,144.9728553,51b02770a1211f62405940a6b5696ce442c0f00101f901765d240000000000c00205,Carlton North,Carlton North,1.0,City of Yarra,Carlton North,-37.793226,-37.778043,144.958885,144.978136
49,169.0,Carnegie,19091.0,21350.0,22840.0,24118.0,25473.0,2GMEL,6382.0,0.334293646,-37.8933729,145.0559135,51f5bc1b0bca21624059fc500e0b5af242c0f00101f9010595240000000000c00205,Carnegie,Carnegie,1.0,City of Glen Eira,Carnegie,-37.906499,-37.88102,145.04469,145.067459
50,1096.0,Caroline Springs,20968.0,21924.0,22442.0,22721.0,22997.0,2GMEL,2029.0,0.09676650099999999,-37.7345608,144.7371975,512d26361f971762405938769a1606de42c0f00101f901ac00250000000000c00205,Caroline Springs,Caroline Springs,1.0,City of Melton,Caroline Springs,-37.759443,-37.703304,144.72371,144.750616
51,180.0,Patterson Lakes,6056.0,6404.0,6756.0,7118.0,7503.0,2GMEL,1447.0,0.238936592,-38.0694493,145.1432329,51c2a6295d9524624059741df4b6e30843c0f00101f901c100250000000000c00205,Patterson Lakes,Patterson Lakes,1.0,City of Kingston,Patterson Lakes,-38.083451,-38.05158,145.132009,145.156254
52,,Carrum,6056.0,6404.0,6756.0,7118.0,7503.0,2GMEL,1447.0,0.238936592,-38.0767264,145.1280098,51291202a81824624059b25eb12bd20943c0f00101f901c300250000000000c00205,Carrum,Carrum,1.0,City of Kingston,Carrum,-38.085061,-38.069162,145.119837,145.136208
53,1109.0,Carrum Downs,21549.0,22951.0,24262.0,25610.0,26996.0,2GMEL,5447.0,0.25277275,-38.0927904,145.1758001,5146048827a025624059feb04a8ee00b43c0f00101f9011401250000000000c00205,Carrum Downs,Carrum Downs,1.0,City of Frankston,Carrum Downs,-38.126773,-38.067395,145.148873,145.203087
54,170.0,Caulfield - North,22288.0,24010.0,25734.0,27346.0,28751.0,2GMEL,6463.0,0.28997666899999996,-37.870828,145.0218005,512b51f696b2206240597638ba4a77ef42c0f00101f9019e8e240000000000c00205,Caulfield North,Caulfield North,1.0,City of Glen Eira,Caulfield North,-37.881393,-37.860225,145.007174,145.040152
55,171.0,Caulfield - South,18393.0,19037.0,19714.0,20393.0,21128.0,2GMEL,2735.0,0.148697874,-37.894699,145.0249323,51a6a3d23ecc20624059c861307f85f242c0f00101f901eb98240000000000c00205,Caulfield South,Caulfield South,1.0,City of Glen Eira,Caulfield South,-37.903287,-37.886034,145.012214,145.037657
