,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,GCCSA,Total Growth,Total Growth %
219,Bundoora - West,6456.0,6914.0,7382.0,7862.0,8356.0,2GMEL,1900.0,0.2942998760842627
220,Lalor,23874.0,26948.0,29649.0,32407.0,34964.0,2GMEL,11090.0,0.4645220742230041
221,Mill Park - North,18712.0,18748.0,18884.0,19086.0,19352.0,2GMEL,640.0,0.034202650705429674
222,Mill Park - South,12526.0,12459.0,12571.0,12787.0,13059.0,2GMEL,533.0,0.04255149289477886
223,Thomastown,21485.0,21801.0,22478.0,23522.0,24745.0,2GMEL,3260.0,0.15173376774493832
224,Wallan,16747.0,22918.0,33084.0,47161.0,64025.0,2GMEL,47278.0,2.823072789156267
225,Whittlesea,8436.0,10095.0,19163.0,32193.0,44864.0,2GMEL,36428.0,4.318160265528687
226,Doreen,21801.0,29130.0,31384.0,32343.0,32974.0,2GMEL,11173.0,0.5124994266318059
227,Epping - East,13738.0,14087.0,15462.0,17313.0,18068.0,2GMEL,4330.0,0.3151841607220847
228,Epping - South,8690.0,8825.0,9057.0,9301.0,9558.0,2GMEL,868.0,0.0998849252013809
229,Epping - West,11484.0,13431.0,14567.0,15718.0,16410.0,2GMEL,4926.0,0.428944618599791
230,Mernda,17171.0,25917.0,28976.0,30399.0,31310.0,2GMEL,14139.0,0.8234232135577427
231,South Morang (North),12675.0,13556.0,15638.0,17969.0,19911.0,2GMEL,7236.0,0.5708875739644971
232,South Morang (South),12558.0,13118.0,13806.0,14287.0,14764.0,2GMEL,2206.0,0.17566491479534957
233,Wollert,9493.0,21820.0,36732.0,51065.0,63746.0,2GMEL,54253.0,5.715053197092595
234,Airport West,7903.0,8716.0,9480.0,10257.0,11000.0,2GMEL,3097.0,0.3918765025939517
235,Essendon Airport,0.0,0.0,0.0,0.0,0.0,2GMEL,0.0,
236,Keilor,8993.0,9353.0,9669.0,9975.0,10321.0,2GMEL,1328.0,0.1476704103191371
237,Keilor East,27399.0,29174.0,30911.0,32644.0,34525.0,2GMEL,7126.0,0.2600824847622176
238,Niddrie - Essendon West,7250.0,7966.0,8584.0,9263.0,10006.0,2GMEL,2756.0,0.38013793103448273
239,Strathmore,9968.0,10498.0,11058.0,11634.0,12253.0,2GMEL,2285.0,0.22923354735152487
240,Gisborne,13312.0,15097.0,16783.0,18489.0,20272.0,2GMEL,6960.0,0.5228365384615384
241,Macedon,3525.0,3560.0,3647.0,3790.0,3963.0,2GMEL,438.0,0.12425531914893617
242,Riddells Creek,4174.0,4505.0,4886.0,5324.0,5819.0,2GMEL,1645.0,0.3941063727839003
243,Romsey,9663.0,10468.0,11375.0,12199.0,13065.0,2GMEL,3402.0,0.3520645762185657
