,Area Name,Total 2016,Total 2021,Total 2026,Total 2031,Total 2036,Total Growth,Total Growth %
154,Lalor,23874,26948,29649,32407,34964,11090,0.4645220742230041
155,Langwarrin,24694,25883,26887,27735,28684,3990,0.16157771118490322
156,Laverton,9385,12793,13840,14690,15648,6263,0.6673415023974427
157,Lilydale,19448,20212,23072,26357,29679,10231,0.5260695187165776
158,Lynbrook,16067,18177,19748,20647,21346,5279,0.3285616480985872
159,Lysterfield,6917,7082,7257,7468,7715,798,0.11536793407546624
160,Macedon,3525,3560,3647,3790,3963,438,0.12425531914893617
161,Malvern,21148,22603,23619,24695,25858,4710,0.22271609608473614
162,Malvern East,22575,24421,26025,27617,29275,6700,0.2967884828349945
163,Maribyrnong,12950,14713,18384,22312,25011,12061,0.9313513513513514
164,Meadow Heights,15779,15870,16030,16261,16660,881,0.05583370302300526
166,Melton,19560,21200,22284,23355,24674,5114,0.2614519427402863
167,Melton South,24243,34384,46165,58355,70474,46231,1.9069834591428454
168,Melton West,18157,22197,24450,26552,29167,11010,0.6063777055681004
169,Mentone,13695,14731,15771,16784,17822,4127,0.301350857977364
170,Mernda,17171,25917,28976,30399,31310,14139,0.8234232135577427
171,Mickleham,3580,18538,33525,47112,58334,54754,15.29441340782123
172,Mill Park,31238,31207,31455,31873,32411,1173,0.037550419361034634
173,Mitcham,16859,17634,18433,19298,20238,3379,0.20042707159380746
174,Monbulk,5827,5902,5981,6072,6171,344,0.059035524283507806
175,Montmorency,16792,17219,17459,17803,18224,1432,0.08527870414483087
176,Montrose,7078,7177,7261,7373,7546,468,0.06612037298671941
177,Moonee Ponds,15158,17712,20977,23272,25599,10441,0.6888111888111889
178,Moorabbin,4627,5054,5532,6004,6510,1883,0.4069591527987897
179,Heatherton,4627,5054,5532,6004,6510,1883,0.4069591527987897
180,Mooroolbark,23027,24348,25460,26615,27844,4817,0.20918921266339516
181,Mordialloc,10485,11088,11547,12073,12668,2183,0.20820219360991893
182,Parkdale,10485,11088,11547,12073,12668,2183,0.20820219360991893
183,Mornington,25030,26542,28039,29653,31386,6356,0.25393527766679985
184,Mount Dandenong,10109,10153,10202,10260,10334,225,0.022257394401028786
185,Mount Eliza,18696,19338,19992,20702,21470,2774,0.1483739837398374
186,Mount Evelyn,10081,10287,10451,10582,10730,649,0.06437853387560757
187,Mount Martha,19365,20527,21847,23396,25179,5814,0.30023237800154917
188,Mount Waverley,35344,37374,39355,41445,43642,8298,0.23477818017202354
189,Mulgrave,20462,21570,22654,23780,24992,4530,0.22138598377480206
190,Murrumbeena,9809,10290,10725,11128,11572,1763,0.17973289835865022
191,Narre Warren,8183,8871,9318,9768,10225,2042,0.249541732860809
192,Narre Warren South,32057,33431,34186,35143,36285,4228,0.13189007081136725
193,Narre Warren East,27680,28145,28586,29180,29881,2201,0.07951589595375723
194,Newport,18523,19888,21010,22176,23377,4854,0.2620525832748475
195,Noble Park North,7871,7962,8084,8313,8659,788,0.10011434379367298
196,Noble Park,32508,35058,37817,40975,44218,11710,0.3602190230097207
197,North Melbourne,22106,29306,33979,40364,45392,23286,1.0533791730751831
198,Northcote,26424,28701,30539,32396,34327,7903,0.299084165909779
199,Nunawading,12363,13111,14208,15227,16248,3885,0.31424411550594517
200,Oakleigh,22617,24686,27155,29364,31423,8806,0.38935314144227795
201,Ormond,7029,7447,7806,8162,8531,1502,0.21368615734812918
202,Glen Huntly,7029,7447,7806,8162,8531,1502,0.21368615734812918
203,Pakenham,48950,59003,66082,71840,75469,26519,0.5417568947906026
204,Parkville,7898,9020,9640,10615,11559,3661,0.46353507217016965
205,Pascoe Vale,24829,27611,29998,32327,34604,9775,0.3936928591566314
206,Pascoe Vale South,10465,11267,11923,12572,13241,2776,0.2652651696129957
207,Pearcedale,4018,4149,4297,4448,4603,585,0.14559482329517173
208,Tooradin,4018,4149,4297,4448,4603,585,0.14559482329517173
209,Plenty,4897,5026,5145,5310,5508,611,0.12477026751072084
210,Yarrambat,4897,5026,5145,5310,5508,611,0.12477026751072084
211,Point Cook,52253,65720,70827,75589,80414,28161,0.5389355635083153
212,Point Nepean,17999,18644,19176,19591,20061,2062,0.1145619201066726
213,Port Melbourne,17494,18797,23755,32190,43953,26459,1.5124614153424032
214,Prahran,21275,22653,24164,25908,27888,6613,0.310834312573443
215,Preston,34059,38767,44178,49456,55101,21042,0.6178102704131067
216,Research,3504,3514,3539,3570,3632,128,0.0365296803652968
217,North Warrandyte,3504,3514,3539,3570,3632,128,0.0365296803652968
218,Reservoir East,28420,31187,33462,36083,38924,10504,0.36959887403237157
219,Reservoir West,25246,26433,27584,28876,30397,5151,0.2040323219519924
220,Richmond,32686,37786,42185,45884,49800,17114,0.5235880805237716
221,Riddells Creek,4174,4505,4886,5324,5819,1645,0.3941063727839003
222,Ringwood,17931,20543,22765,24921,27199,9268,0.5168702247504322
223,Ringwood East,21031,22087,23128,24254,25467,4436,0.21092672721221054
224,Ringwood North,9991,10173,10411,10691,11013,1022,0.10229206285657091
225,Rockbank,3148,13995,28235,45791,65254,62106,19.7287166454892
226,Romsey,9663,10468,11375,12199,13065,3402,0.3520645762185657
227,Rosebud,21613,22990,24450,25995,27629,6016,0.27835099245824274
228,Rowville,35216,35290,35763,36497,37537,2321,0.06590754202635166
