,Area Type,Area Name,Total_2016,Total_2036,Population Difference,Population Growth
116,2GMEL,Carlton,20242,30262.0,10020.0,49.501037446892596
117,2GMEL,Docklands,11832,29157.0,17325.0,146.42494929006085
118,2GMEL,East Melbourne,5475,7300.0,1825.0,33.33333333333333
119,2GMEL,Flemington Racecourse,91,3214.0,3123.0,3431.868131868132
120,2GMEL,Kensington (Vic.),11530,16674.0,5144.0,44.61405030355594
121,2GMEL,Melbourne,40181,83245.0,43064.0,107.17503297578457
122,2GMEL,North Melbourne,22106,45392.0,23286.0,105.33791730751831
123,2GMEL,Parkville,7898,11559.0,3661.0,46.35350721701697
124,2GMEL,South Yarra - West,6453,8321.0,1868.0,28.947776228110953
125,2GMEL,Southbank,20288,47186.0,26898.0,132.5808359621451
126,2GMEL,West Melbourne,3,0.0,-3.0,-100.0
127,2GMEL,Albert Park,16490,20797.0,4307.0,26.118859915100064
128,2GMEL,Elwood,16382,18905.0,2523.0,15.40104993285313
129,2GMEL,Port Melbourne,17469,20452.0,2983.0,17.075963134695744
130,2GMEL,Port Melbourne Industrial,25,23501.0,23476.0,93904.0
131,2GMEL,South Melbourne,12492,29929.0,17437.0,139.58533461415306
132,2GMEL,St Kilda,28166,36226.0,8060.0,28.61606191862529
133,2GMEL,St Kilda East,17613,19976.0,2363.0,13.416226650769318
134,2GMEL,Armadale,9619,13173.0,3554.0,36.94770766191912
135,2GMEL,Prahran - Windsor,21275,27888.0,6613.0,31.0834312573443
136,2GMEL,South Yarra - East,22350,35254.0,12904.0,57.73601789709172
137,2GMEL,Toorak,14036,15441.0,1405.0,10.009974351667141
138,2GMEL,Abbotsford,8770,14263.0,5493.0,62.6339794754846
139,2GMEL,Carlton North - Princes Hill,9058,9718.0,660.0,7.286376683594613
140,2GMEL,Collingwood,9235,14598.0,5363.0,58.07255008121278
141,2GMEL,Fitzroy,11259,14970.0,3711.0,32.96029842792433
142,2GMEL,Fitzroy North,13129,16675.0,3546.0,27.0089115698073
143,2GMEL,Richmond (Vic.),32686,49800.0,17114.0,52.35880805237716
144,2GMEL,Yarra - North,9606,17515.0,7909.0,82.33395794295232
145,2GMEL,Ashburton (Vic.),8104,9380.0,1276.0,15.745310957551824
146,2GMEL,Balwyn,16679,18946.0,2267.0,13.591941962947418
147,2GMEL,Balwyn North,21440,24247.0,2807.0,13.092350746268657
148,2GMEL,Camberwell,22646,28157.0,5511.0,24.335423474344257
149,2GMEL,Glen Iris - East,17182,20118.0,2936.0,17.08764986613898
150,2GMEL,Hawthorn,24548,32196.0,7648.0,31.155287599804467
151,2GMEL,Hawthorn East,16192,22233.0,6041.0,37.30854743083004
