GCCSA,Area Name,Total
2GMEL,Berwick - South,39670.00
2GMEL,Doveton,15913.00
2GMEL,Hallam,14511.00
2GMEL,Narre Warren North,10225.00
2GMEL,Endeavour Hills - North,12961.00
2GMEL,Endeavour Hills - South,14187.00
2GMEL,Narre Warren - North East,15429.00
2GMEL,Narre Warren - South West,17596.00
2GMEL,Cranbourne,26262.00
2GMEL,Cranbourne East,118601.00
2GMEL,Cranbourne North,33363.00
2GMEL,Cranbourne South,54603.00
2GMEL,Cranbourne West,29026.00
2GMEL,Hampton Park - Lynbrook,29542.00
2GMEL,Lynbrook - Lyndhurst,21346.00
2GMEL,Pearcedale - Tooradin,9206.00
2GMEL,Narre Warren South (East),14452.00
2GMEL,Narre Warren South (West),18689.00
2GMEL,Clarinda - Oakleigh South,13125.00
2GMEL,Clayton South,20790.00
2GMEL,Dandenong,50674.00
2GMEL,Dandenong North,25999.00
2GMEL,Dingley Village,11492.00
2GMEL,Keysborough,39749.00
2GMEL,Noble Park North,8659.00
2GMEL,Springvale,33777.00
2GMEL,Springvale South,15483.00
2GMEL,Noble Park - East,18791.00
2GMEL,Noble Park - West,25427.00
2GMEL,Ashwood - Chadstone,26328.00
2GMEL,Clayton,37195.00
2GMEL,Glen Waverley - East,24531.00
2GMEL,Glen Waverley - West,27275.00
2GMEL,Mount Waverley - North,19049.00
2GMEL,Mount Waverley - South,24593.00
2GMEL,Mulgrave,24992.00
2GMEL,Oakleigh - Huntingdale,31423.00
2GMEL,Wheelers Hill,23150.00
2GMEL,Ardeer - Albion,10949.00
2GMEL,Cairnlea,12216.00
2GMEL,Deer Park - Derrimut,30748.00
2GMEL,Delahey,9378.00
2GMEL,Keilor Downs,14457.00
2GMEL,Kings Park (Vic.),16046.00
2GMEL,St Albans - North,26664.00
2GMEL,St Albans - South,21152.00
2GMEL,Sunshine,18418.00
2GMEL,Sunshine North,17261.00
2GMEL,Sunshine West,24132.00
2GMEL,Sydenham,14028.00
2GMEL,Taylors Lakes,18729.00
2GMEL,Altona,16739.00
2GMEL,Altona Meadows,22063.00
2GMEL,Altona North,25727.00
2GMEL,Newport,23377.00
2GMEL,Seabrook,6099.00
2GMEL,Williamstown,20139.00
2GMEL,Braybrook,28665.00
2GMEL,Footscray,44492.00
2GMEL,Maribyrnong,25011.00
2GMEL,Seddon - Kingsville,11626.00
2GMEL,West Footscray - Tottenham,15593.00
2GMEL,Yarraville,22077.00
2GMEL,Bacchus Marsh,36006.00
2GMEL,Hillside,65225.00
2GMEL,Melton,24674.00
2GMEL,Melton South,70474.00
2GMEL,Melton West,29167.00
2GMEL,Rockbank - Mount Cottrell,65254.00
2GMEL,Taylors Hill,22405.00
2GMEL,Burnside,6487.00
2GMEL,Burnside Heights,7665.00
2GMEL,Caroline Springs,22997.00
2GMEL,Hoppers Crossing - North,21715.00
2GMEL,Hoppers Crossing - South,21782.00
2GMEL,Laverton,15648.00
2GMEL,Tarneit,108005.00
2GMEL,Truganina,49228.00
2GMEL,Werribee - South,28856.00
2GMEL,Wyndham Vale,65947.00
2GMEL,Point Cook - East,23083.00
2GMEL,Point Cook - North,27028.00
2GMEL,Point Cook - South,30303.00
2GMEL,Werribee - East,23681.00
2GMEL,Werribee - West,50393.00
2GMEL,Carrum Downs,26996.00
2GMEL,Frankston,29613.00
2GMEL,Frankston North,22268.00
2GMEL,Frankston South,21423.00
2GMEL,Langwarrin,28684.00
2GMEL,Seaford (Vic.),21408.00
2GMEL,Skye - Sandhurst,15395.00
2GMEL,Dromana,16128.00
2GMEL,Flinders,6110.00
2GMEL,Hastings - Somers,29788.00
2GMEL,Mornington,31386.00
2GMEL,Mount Eliza,21470.00
2GMEL,Mount Martha,25179.00
2GMEL,Point Nepean,20061.00
2GMEL,Rosebud - McCrae,27629.00
2GMEL,Somerville,22616.00
2RVIC,Ararat,8679.00
2RVIC,Ararat Region,3013.00
2RVIC,Horsham,17649.00
2RVIC,Horsham Region,2969.00
2RVIC,Nhill Region,5483.00
2RVIC,St Arnaud,2624.00
2RVIC,Stawell,7590.00
2RVIC,West Wimmera,2127.00
2RVIC,Yarriambiack,5531.00
2RVIC,Irymple,7731.00
2RVIC,Merbein,5223.00
2RVIC,Mildura Region,3113.00
2RVIC,Red Cliffs,6585.00
2RVIC,Mildura - North,20671.00
2RVIC,Mildura - South,19230.00
2RVIC,Buloke,5015.00
2RVIC,Gannawarra,6193.00
2RVIC,Kerang,3727.00
2RVIC,Robinvale,3146.00
2RVIC,Swan Hill,11962.00
2RVIC,Swan Hill Region,5417.00
2RVIC,Echuca,16385.00
2RVIC,Kyabram,11305.00
2RVIC,Lockington - Gunbower,3800.00
2RVIC,Rochester,4026.00
2RVIC,Rushworth,3726.00
2RVIC,Cobram,6695.00
2RVIC,Moira,2694.00
2RVIC,Numurkah,12443.00
2RVIC,Yarrawonga,10553.00
2RVIC,Mooroopna,8419.00
2RVIC,Shepparton - North,23820.00
2RVIC,Shepparton - South,30605.00
2RVIC,Shepparton Region - East,3859.00
2RVIC,Shepparton Region - West,10796.00
2RVIC,Glenelg (Vic.),7650.00
2RVIC,Hamilton (Vic.),9772.00
2RVIC,Portland,11064.00
2RVIC,Southern Grampians,5340.00
2RVIC,Camperdown,3177.00
2RVIC,Colac,13516.00
2RVIC,Colac Region,5108.00
2RVIC,Corangamite - North,4970.00
2RVIC,Corangamite - South,6723.00
2RVIC,Otway,3729.00
2RVIC,Moyne - East,6977.00
2RVIC,Moyne - West,11627.00
2RVIC,Warrnambool - North,26289.00
2RVIC,Warrnambool - South,14046.00
