,suburb,number of trips,number of stops,trips per stop,Actual Postcode,Adjusted Postcode
209,Keilor Downs,1445,48,30.104166666666668,3038,3038
210,Keilor East,4063,58,70.05172413793103,3033,3033
211,Keilor Lodge,44,2,22.0,3038,3038
212,Keilor North,24,2,12.0,3036,3036
213,Keilor Park,1205,14,86.07142857142857,3042,3042
214,Kensington,1991,20,99.55,3031,3031
215,Kew,10024,113,88.70796460176992,3101,3101
216,Kew East,4046,48,84.29166666666667,3102,3102
217,Keysborough,5280,122,43.278688524590166,3173,3173
218,Kilsyth,3406,63,54.06349206349206,3137,3137
219,Kilsyth South,1120,18,62.22222222222222,3137,3137
220,Kings Park,711,24,29.625,3021,3021
221,Kingsbury,3056,21,145.52380952380952,3083,3083
222,Kingsville,378,9,42.0,3012,3012
223,Knoxfield,3521,53,66.43396226415095,3180,"3180, 3179"
224,Kooyong,931,6,155.16666666666666,3144,"3144, 3146"
225,Kurunjang,853,31,27.516129032258064,3337,3337
226,Lalor,6552,75,87.36,3075,3075
227,Langwarrin,6475,84,77.08333333333333,3910,3910
228,Langwarrin South,65,18,3.611111111111111,3911,3911
229,Launching Place,261,12,21.75,3139,3139
230,Laverton,1581,24,65.875,3028,3028
231,Laverton North,1182,43,27.488372093023255,3026,3026
232,Lilydale,6141,88,69.7840909090909,3140,"3140, 3770"
233,Lower Plenty,730,8,91.25,3093,3093
234,Lynbrook,1370,15,91.33333333333333,3975,3975
235,Lyndhurst,1729,19,91.0,3975,3975
236,Lysterfield,914,27,33.851851851851855,3156,3156
237,Macleod,2208,32,69.0,3085,"3084, 3085"
238,Maidstone,2476,38,65.15789473684211,3012,3012
239,Malvern,5961,57,104.57894736842105,3144,"3144, 3146"
240,Malvern East,6755,103,65.58252427184466,3145,3145
241,Manor Lakes,1369,37,37.0,3024,3024
242,Maribyrnong,6275,84,74.70238095238095,3032,3032
243,Meadow Heights,4699,61,77.0327868852459,3048,3048
244,Melbourne Airport,210,4,52.5,3045,3045
245,Melton,2497,74,33.74324324324324,3337,3337
246,Melton South,1952,47,41.53191489361702,3338,3338
247,Melton West,2108,73,28.876712328767123,3337,3337
248,Mentone,3938,58,67.89655172413794,3194,3194
249,Menzies Creek,360,6,60.0,3159,"3160, 3159"
250,Mernda,9020,84,107.38095238095238,3754,3754
251,Merricks,16,3,5.333333333333333,3916,3916
252,Mickleham,2764,47,58.808510638297875,3064,3064
253,Middle Park,2644,31,85.29032258064517,3206,3206
254,Mill Park,12666,135,93.82222222222222,3082,3082
255,Millgrove,107,5,21.4,3799,3799
256,Mitcham,5526,91,60.72527472527472,3132,3132
257,Monbulk,900,18,50.0,3793,"3793, 3795"
258,Mont Albert,1687,23,73.34782608695652,3127,3127
259,Mont Albert North,2031,33,61.54545454545455,3129,3129
260,Montmorency,3376,32,105.5,3094,"3094, 3088"
261,Montrose,3326,48,69.29166666666667,3765,3765
262,Moonee Ponds,7827,90,86.96666666666667,3039,3039
263,Moorabbin,3311,54,61.31481481481482,3189,"3189, 3202"
264,Mooroolbark,3354,42,79.85714285714286,3138,3138
265,Mordialloc,1649,36,45.80555555555556,3195,3195
266,Mornington,3719,118,31.516949152542374,3931,3931
267,Mount Dandenong,1272,38,33.473684210526315,3767,"3767, 3788"
268,Mount Eliza,2044,27,75.70370370370371,3930,3930
269,Mount Evelyn,3360,36,93.33333333333333,3796,3796
270,Mount Martha,1913,79,24.21518987341772,3934,3934
271,Mount Waverley,9198,111,82.86486486486487,3149,3149
272,Mulgrave,6948,110,63.163636363636364,3170,3170
273,Murrumbeena,3391,49,69.20408163265306,3163,3163
274,Narre Warren,5693,114,49.93859649122807,3805,3805
275,Narre Warren North,399,17,23.470588235294116,3804,3804
276,Narre Warren South,5842,109,53.596330275229356,3805,3805
277,Newport,3144,57,55.1578947368421,3015,3015
278,Niddrie,1962,35,56.05714285714286,3042,3042
279,Noble Park,3360,79,42.53164556962025,3174,3174
280,Noble Park North,950,48,19.791666666666668,3174,3174
281,North Melbourne,6891,54,127.61111111111111,3051,3051
282,North Warrandyte,588,27,21.77777777777778,3113,"3113, 3115"
283,Northcote,12410,106,117.0754716981132,3070,3070
284,Notting Hill,2032,19,106.94736842105263,3168,3168
285,Nunawading,5206,67,77.70149253731343,3131,3131
286,Oak Park,1306,20,65.3,3046,3046
287,Oakleigh,7734,59,131.08474576271186,3166,3166
288,Oakleigh East,2251,24,93.79166666666667,3166,3166
289,Oakleigh South,6199,77,80.50649350649351,3167,"3169, 3167"
290,Officer,538,16,33.625,3809,"3807, 3809"
291,Olinda,704,16,44.0,3788,"3767, 3788"
292,Ormond,2411,41,58.80487804878049,3204,3204
293,Pakenham,3446,140,24.614285714285714,3810,3810
294,Pakenham Upper,45,10,4.5,3810,3810
295,Park Orchards,870,21,41.42857142857143,3114,"3111, 3114"
296,Parkdale,1989,42,47.357142857142854,3195,3195
297,Parkville,5266,51,103.25490196078431,3052,3052
298,Pascoe Vale,5268,60,87.8,3044,3044
299,Pascoe Vale South,4053,54,75.05555555555556,3044,3044
300,Patterson Lakes,773,32,24.15625,3197,3197
301,Pearcedale,377,13,29.0,3912,3912
302,Plenty,2073,14,148.07142857142858,3090,"3090, 3091"
303,Plumpton,50,2,25.0,3037,3037
304,Point Cook,4512,122,36.98360655737705,3030,3030
305,Point Leo,4,1,4.0,3916,3916
306,Port Melbourne,8619,100,86.19,3207,3207
307,Portsea,306,17,18.0,3944,3944
308,Prahran,5768,59,97.76271186440678,3181,3181
309,Preston,24958,213,117.17370892018779,3072,3072
310,Ravenhall,312,6,52.0,3023,3023
311,Research,482,19,25.36842105263158,3095,3095
312,Reservoir,27014,321,84.15576323987538,3073,3073
313,Richmond,11436,70,163.37142857142857,3121,3121
314,Ringwood,9301,124,75.00806451612904,3134,3134
315,Ringwood East,2242,34,65.94117647058823,3135,3135
316,Ringwood North,2275,61,37.295081967213115,3134,3134
317,Ripponlea,630,6,105.0,3185,3185
318,Rockbank,346,13,26.615384615384617,3335,"3335, 3024"
319,Rosanna,3855,42,91.78571428571429,3084,3084
320,Rosebud,1101,32,34.40625,3939,"3939, 3938"
321,Rowville,8347,136,61.375,3178,3178
322,Roxburgh Park,5059,63,80.3015873015873,3064,3064
323,Rye,1322,69,19.159420289855074,3941,3941
324,Safety Beach,950,19,50.0,3936,3936
325,Sandhurst,62,2,31.0,3977,3977
326,Sandringham,2690,44,61.13636363636363,3191,"3191, 3193"
327,Sassafras,976,13,75.07692307692308,3787,3787
328,Scoresby,4123,56,73.625,3179,"3180, 3179"
329,Seabrook,298,7,42.57142857142857,3028,3028
330,Seaford,3209,88,36.46590909090909,3198,3198
331,Seaholme,117,1,117.0,3018,3018
332,Seddon,1302,15,86.8,3011,3011
333,Selby,480,8,60.0,3159,"3160, 3159"
334,Seville,210,9,23.333333333333332,3139,3139
335,Seville East,72,3,24.0,3139,3139
336,Sherbrooke,202,9,22.444444444444443,3789,3789
337,Shoreham,20,5,4.0,3916,3916
338,Silvan,1000,20,50.0,3795,"3793, 3795"
339,Skye,72,3,24.0,3977,3977
340,Somers,274,22,12.454545454545455,3927,"3915, 3927"
341,Somerton,615,12,51.25,3062,"3064, 3062"
342,Somerville,486,27,18.0,3912,3912
343,Sorrento,1230,44,27.954545454545453,3943,3943
344,South Kingsville,615,15,41.0,3015,3015
345,South Melbourne,7138,55,129.78181818181818,3205,3205
346,South Morang,11375,111,102.47747747747748,3752,3752
347,South Yarra,7642,78,97.97435897435898,3141,3141
348,Southbank,7103,38,186.92105263157896,3006,3006
349,Spotswood,895,15,59.666666666666664,3015,3015
350,Springvale,5050,85,59.411764705882355,3171,3171
351,Springvale South,1727,49,35.244897959183675,3172,3172
352,St Albans,5734,136,42.161764705882355,3021,3021
353,St Andrews Beach,48,6,8.0,3941,3941
354,St Kilda,11235,84,133.75,3182,3182
